"Score","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","CAD_Pos_TB","CAD_Pos_Normal","Subgroup","AI","ppv","npv","CAD_Pos","XpertSaved","Comment","X","nnt"
30,0.96100279,0.9547849,0.96658513,0.50722442,0.49658783,0.51785611,0.96100278551532,0.492775576788627,"MDF","qXRv2",0.313870324318927,0.982285067291726,0.581738746446699,0.418261253553301,"",0.49277558,3.18602914171615
31,0.95891365,0.95255124,0.96464379,0.51444885,0.50381311,0.52507477,0.95891364902507,0.485551153577255,"MDF","qXRv2",0.316588621149428,0.981610781937456,0.575490027712339,0.424509972287661,"",0.48555115,3.15867322195388
32,0.95775302,0.95131212,0.96356345,0.51957586,0.50894207,0.53019634,0.957753017641597,0.480424143556281,"MDF","qXRv2",0.318626818294811,0.981284128252407,0.571116629632491,0.428883370367509,"",0.48042414,3.13846777038945
33,0.95543175,0.94883753,0.9613991,0.5258681,0.51523823,0.53648039,0.955431754874652,0.474131903985085,"MDF","qXRv2",0.320966785796912,0.980507468572629,0.565578875654103,0.434421124345897,"",0.4741319,3.11558717054523
34,0.95427112,0.94760196,0.96031519,0.53239338,0.52176935,0.54299541,0.954271123491179,0.467606618503845,"MDF","qXRv2",0.323728430518975,0.980250167115747,0.560072874451439,0.439927125548561,"",0.46760662,3.08900889055954
35,0.95241411,0.94562731,0.95857865,0.5370543,0.52643555,0.54764788,0.952414113277623,0.46294570030296,"MDF","qXRv2",0.325497628781325,0.979639204717876,0.555944698768146,0.444055301231854,"",0.4629457,3.07221900123831
36,0.95125348,0.94439452,0.95749194,0.54311349,0.53250299,0.55369471,0.95125348189415,0.456886506641808,"MDF","qXRv2",0.328127876313757,0.979380735664909,0.550816231939753,0.449183768060247,"",0.45688651,3.04759233270323
37,0.94986072,0.94291648,0.95618657,0.54917269,0.53857201,0.55973996,0.949860724233983,0.450827312980657,"MDF","qXRv2",0.330753476535551,0.979033057718597,0.545643661118789,0.454356338881211,"",0.45082731,3.02339981570085
38,0.94916435,0.94217798,0.95553335,0.55488231,0.54429233,0.56543501,0.9491643454039,0.445117688184572,"MDF","qXRv2",0.333417839100535,0.97896212011736,0.540886553056245,0.459113446943755,"",0.44511769,2.99923964085938
39,0.94707521,0.9399645,0.95357169,0.56035889,0.54978048,0.57089629,0.947075208913649,0.439641109298532,"MDF","qXRv2",0.33568339731795,0.97832570775076,0.536053588225404,0.463946411774596,"",0.43964111,2.9789974958244
40,0.94684308,0.93971874,0.95335354,0.56560242,0.55503632,0.57612396,0.946843082636954,0.434397576322536,"MDF","qXRv2",0.338309448739049,0.978430158053779,0.531762222522275,0.468237777477725,"",0.43439758,2.95587369412002
