FileName,TID,Folder,Option
2020100366-0,2020100366-0,1st Batch\Dhanmondi_TBSTC,
2020100367-8,2020100367-8,1st Batch\Dhanmondi_TBSTC,
2020100368-6,2020100368-6,1st Batch\Dhanmondi_TBSTC,
2020100369-4,2020100369-4,1st Batch\Dhanmondi_TBSTC,
2020100370-2,2020100370-2,1st Batch\Dhanmondi_TBSTC,
2020100371-0,2020100371-0,1st Batch\Dhanmondi_TBSTC,
2020100372-8,2020100372-8,1st Batch\Dhanmondi_TBSTC,
2020100374-4,2020100374-4,1st Batch\Dhanmondi_TBSTC,
2020100375-1,2020100375-1,1st Batch\Dhanmondi_TBSTC,
2020100376-9,2020100376-9,1st Batch\Dhanmondi_TBSTC,
2020100377-7,2020100377-7,1st Batch\Dhanmondi_TBSTC,
2020100378-5,2020100378-5,1st Batch\Dhanmondi_TBSTC,
2020100379-3,2020100379-3,1st Batch\Dhanmondi_TBSTC,
2020100380-1,2020100380-1,1st Batch\Dhanmondi_TBSTC,
2020100381-9,2020100381-9,1st Batch\Dhanmondi_TBSTC,
2020100382-7,2020100382-7,1st Batch\Dhanmondi_TBSTC,
2020100383-5,2020100383-5,1st Batch\Dhanmondi_TBSTC,
2020100384-3,2020100384-3,1st Batch\Dhanmondi_TBSTC,
2020100385-0,2020100385-0,1st Batch\Dhanmondi_TBSTC,
2020100387-6,2020100387-6,1st Batch\Dhanmondi_TBSTC,
2020100388-4,2020100388-4,1st Batch\Dhanmondi_TBSTC,
2020100389-2,2020100389-2,1st Batch\Dhanmondi_TBSTC,
2020100390-0,2020100390-0,1st Batch\Dhanmondi_TBSTC,
2020100391-8,2020100391-8,1st Batch\Dhanmondi_TBSTC,
2020100392-6,2020100392-6,1st Batch\Dhanmondi_TBSTC,
2020100393-4,2020100393-4,1st Batch\Dhanmondi_TBSTC,
2020100394-2,2020100394-2,1st Batch\Dhanmondi_TBSTC,
2020100395-9,2020100395-9,1st Batch\Dhanmondi_TBSTC,
2020100396-7,2020100396-7,1st Batch\Dhanmondi_TBSTC,
2020100397-5,2020100397-5,1st Batch\Dhanmondi_TBSTC,
2020100398-3,2020100398-3,1st Batch\Dhanmondi_TBSTC,
2020100399-1,2020100399-1,1st Batch\Dhanmondi_TBSTC,
2020100400-7,2020100400-7,1st Batch\Dhanmondi_TBSTC,
2020100401-5,2020100401-5,1st Batch\Dhanmondi_TBSTC,
2020100402-3,2020100402-3,1st Batch\Dhanmondi_TBSTC,
2020100403-1,2020100403-1,1st Batch\Dhanmondi_TBSTC,
2020100404-9,2020100404-9,1st Batch\Dhanmondi_TBSTC,
2020100405-6,2020100405-6,1st Batch\Dhanmondi_TBSTC,
2020100406-4,2020100406-4,1st Batch\Dhanmondi_TBSTC,
2020100407-2,2020100407-2,1st Batch\Dhanmondi_TBSTC,
2020100408-0,2020100408-0,1st Batch\Dhanmondi_TBSTC,
2020100409-8,2020100409-8,1st Batch\Dhanmondi_TBSTC,
2020100410-6,2020100410-6,1st Batch\Dhanmondi_TBSTC,
2020100411-4,2020100411-4,1st Batch\Dhanmondi_TBSTC,
2020100412-2,2020100412-2,1st Batch\Dhanmondi_TBSTC,
2020100413-0,2020100413-0,1st Batch\Dhanmondi_TBSTC,
2020100414-8,2020100414-8,1st Batch\Dhanmondi_TBSTC,
2020100416-3,2020100416-3,1st Batch\Dhanmondi_TBSTC,
2020100417-1,2020100417-1,1st Batch\Dhanmondi_TBSTC,
2020100418-9,2020100418-9,1st Batch\Dhanmondi_TBSTC,
2020100419-7,2020100419-7,1st Batch\Dhanmondi_TBSTC,
2020100420-5,2020100420-5,1st Batch\Dhanmondi_TBSTC,
2020100421-3,2020100421-3,1st Batch\Dhanmondi_TBSTC,
2020100422-1,2020100422-1,1st Batch\Dhanmondi_TBSTC,
2020100423-9,2020100423-9,1st Batch\Dhanmondi_TBSTC,
2020100424-7,2020100424-7,1st Batch\Dhanmondi_TBSTC,
2020100425-4,2020100425-4,1st Batch\Dhanmondi_TBSTC,
2020100426-2,2020100426-2,1st Batch\Dhanmondi_TBSTC,
2020100427-0,2020100427-0,1st Batch\Dhanmondi_TBSTC,
2020100428-8,2020100428-8,1st Batch\Dhanmondi_TBSTC,
2020100429-6,2020100429-6,1st Batch\Dhanmondi_TBSTC,
2020100431-2,2020100431-2,1st Batch\Dhanmondi_TBSTC,
2020100432-0,2020100432-0,1st Batch\Dhanmondi_TBSTC,
2020100433-8,2020100433-8,1st Batch\Dhanmondi_TBSTC,
